clicks_final;impressions_final;cost_final;leads_final;conversions_final;sale_amount_final;conversion_rate_final;Keyword;year;month_num;day;quarter;day_num;week_num;is_weekend;profit;CTR;is_mobile;is_tablet;is_desktop
104;5275;236.48;16;9;1824;0.0865384615;data anaytics training;2024;11;1;4;6;44;0;1587.52;0.0197156398;0;0;1
146;5939;242.9;11;8;1833;0.0547945205;data anaytics training;2024;11;7;4;5;45;0;1590.1;0.0245832632;0;0;1
123;5131;217.98;19;5;1307;0.0406504065;learn data analytics  ;2024;11;9;4;7;45;1;1089.02;0.0239719353;1;0;0
90;5786;197.55;11;6;1704;0.0666666667;online data analytic  ;2024;11;16;4;7;46;1;1506.45;0.0155547874;1;0;0
171;4304;192.61;17;10;1427;0.0584795322;learn data analytics  ;2024;11;26;4;3;48;0;1234.39;0.0397304833;1;0;0
94;5549;231.23;25;9;1849;0.0957446809;data anaytics training;2024;11;12;4;3;46;0;1617.77;0.0169399892;1;0;0
112;4271;196.07;27;6;1209;0.0535714286;data analitics online ;2024;11;14;4;5;46;0;1012.93;0.0262233669;0;0;1
113;4418;191.55;27;10;1634;0.0884955752;data analytics course ;2024;11;9;4;7;45;1;1442.45;0.0255771842;1;0;0
145;3721;180.95;21;7;1960;0.0482758621;data analitics online ;2024;11;29;4;6;48;0;1779.05;0.0389680193;0;0;1
197;5783;204.46;23;6;1729;0.0304568528;data anaytics training;2024;11;1;4;6;44;0;1524.54;0.034065364;0;1;0
109;4866;236.78;27;5;1585;0.0458715596;online data analytic  ;2024;11;15;4;6;46;0;1348.22;0.0224003288;1;0;0
188;5857;222.98;20;4;1303;0.0212765957;data anaytics training;2024;11;11;4;2;46;0;1080.02;0.0320983439;0;0;1
142;5103;234.1;24;3;1835;0.0211267606;analytics for data    ;2024;11;8;4;6;45;0;1600.9;0.0278267686;1;0;0
168;4653;240.84;27;9;1367;0.0535714286;online data analytic  ;2024;11;24;4;1;48;1;1126.16;0.0361057382;1;0;0
110;3524;248.86;19;10;1524;0.0909090909;learn data analytics  ;2024;11;21;4;5;47;0;1275.14;0.0312145289;1;0;0
192;5938;182.84;26;5;1080;0.0260416667;analytics for data    ;2024;11;12;4;3;46;0;897.16;0.0323341192;1;0;0
101;3942;206.62;16;5;1746;0.0495049505;analytics for data    ;2024;11;24;4;1;48;1;1539.38;0.0256215119;0;1;0
157;3315;189.56;15;10;1026;0.0636942675;online data analytic  ;2024;11;25;4;2;48;0;836.44;0.0473604827;1;0;0
113;4945;187.66;15;10;1564;0.0884955752;learn data analytics  ;2024;11;26;4;3;48;0;1376.34;0.022851365;0;1;0
96;3166;196.15;29;7;1902;0.0729166667;learn data analytics  ;2024;11;26;4;3;48;0;1705.85;0.0303221731;0;0;1
125;4223;183.68;15;6;1267;0.048;data analitics online ;2024;11;5;4;3;45;0;1083.32;0.0295998106;0;0;1
104;4798;210.1;18;3;1340;0.0288461538;analytics for data    ;2024;11;21;4;5;47;0;1129.9;0.0216756982;0;0;1
194;5655;208.58;13;6;1692;0.0309278351;data anaytics training;2024;11;16;4;7;46;1;1483.42;0.034305924;1;0;0
144;5140;219.48;19;8;1054;0.0555555556;data analitics online ;2024;11;18;4;2;47;0;834.52;0.0280155642;0;0;1
179;3025;238.81;17;3;1504;0.0167597765;data analitics online ;2024;11;11;4;2;46;0;1265.19;0.0591735537;1;0;0
166;5223;189.76;18;7;1219;0.0421686747;data analytics course ;2024;11;16;4;7;46;1;1029.24;0.0317825005;0;1;0
166;5089;214;26;7;1946;0.0421686747;analytics for data    ;2024;11;11;4;2;46;0;1732.0;0.0326193751;0;1;0
118;5016;204.31;19;9;1833;0.0762711864;analytics for data    ;2024;11;8;4;6;45;0;1628.69;0.0235247209;0;0;1
185;3617;222.32;24;7;1963;0.0378378378;data analytics course ;2024;11;23;4;7;47;1;1740.68;0.0511473597;1;0;0
116;3764;232.03;28;10;1348;0.0862068966;data analytics course ;2024;11;20;4;4;47;0;1115.97;0.0308182784;0;1;0
99;4489;183.73;15;6;1264;0.0606060606;online data analytic  ;2024;11;5;4;3;45;0;1080.27;0.0220539096;0;0;1
172;4441;221.18;14;8;1771;0.0465116279;analytics for data    ;2024;11;27;4;4;48;0;1549.82;0.0387300158;1;0;0
138;5751;199.11;26;9;1337;0.0652173913;data analitics online ;2024;11;10;4;1;46;1;1137.89;0.0239958268;0;0;1
84;4036;234.22;23;10;1287;0.119047619;learn data analytics  ;2024;11;4;4;2;45;0;1052.78;0.0208126858;0;0;1
124;4942;240.59;18;3;1922;0.0241935484;learn data analytics  ;2024;11;16;4;7;46;1;1681.41;0.0250910563;0;0;1
122;4989;215.48;12;5;1975;0.0409836066;data analitics online ;2024;11;6;4;4;45;0;1759.52;0.0244537984;1;0;0
180;3006;228.14;22;7;1556;0.0388888889;learn data analytics  ;2024;11;4;4;2;45;0;1327.86;0.0598802395;0;1;0
133;3728;199.13;11;10;1507;0.0751879699;data analitics online ;2024;11;9;4;7;45;1;1307.87;0.0356759657;0;0;1
164;3734;225.39;27;8;1728;0.0487804878;learn data analytics  ;2024;11;12;4;3;46;0;1502.61;0.0439207284;0;1;0
150;4621;246.3;15;6;1554;0.04;data analitics online ;2024;11;9;4;7;45;1;1307.7;0.0324605064;0;0;1
97;3212;212.55;27;10;1994;0.1030927835;analytics for data    ;2024;11;23;4;7;47;1;1781.45;0.0301992528;0;0;1
128;4225;228.24;30;4;1618;0.03125;learn data analytics  ;2024;11;8;4;6;45;0;1389.76;0.030295858;1;0;0
99;4779;233.78;26;10;1086;0.101010101;online data analytic  ;2024;11;5;4;3;45;0;852.22;0.0207156309;0;0;1
86;5352;234.05;11;5;1364;0.0581395349;online data analytic  ;2024;11;9;4;7;45;1;1129.95;0.0160687593;0;1;0
118;5405;187.28;25;7;1836;0.0593220339;analytics for data    ;2024;11;5;4;3;45;0;1648.72;0.0218316374;0;1;0
127;5430;199.13;14;6;1932;0.0472440945;analytics for data    ;2024;11;25;4;2;48;0;1732.87;0.023388582;1;0;0
83;4808;241.35;20;7;1038;0.0843373494;learn data analytics  ;2024;11;30;4;7;48;1;796.65;0.0172628952;1;0;0
149;3587;217.53;23;8;1504;0.0536912752;data analitics online ;2024;11;17;4;1;47;1;1286.47;0.0415388904;1;0;0
168;4683;215.28;30;8;1327;0.0476190476;data analitics online ;2024;11;28;4;5;48;0;1111.72;0.0358744395;1;0;0
112;5814;227.38;11;8;1467;0.0714285714;analytics for data    ;2024;11;3;4;1;45;1;1239.62;0.0192638459;0;1;0
123;3292;233.2;28;6;1174;0.0487804878;data anaytics training;2024;11;19;4;3;47;0;940.8;0.037363305;0;0;1
174;4305;206.02;20;3;1057;0.0172413793;learn data analytics  ;2024;11;23;4;7;47;1;850.98;0.0404181185;0;0;1
143;4368;214;27;7;1199;0.048951049;analytics for data    ;2024;11;3;4;1;45;1;985.0;0.0327380952;0;1;0
195;5935;209.68;23;9;1966;0.0461538462;online data analytic  ;2024;11;7;4;5;45;0;1756.32;0.0328559393;0;1;0
176;5847;241.04;13;6;1194;0.0340909091;online data analytic  ;2024;11;2;4;7;44;1;952.96;0.0301009064;0;0;1
141;4851;227.39;28;5;1821;0.0354609929;analytics for data    ;2024;11;15;4;6;46;0;1593.61;0.0290661719;0;0;1
108;4710;204.16;19;10;1731;0.0925925926;data analitics online ;2024;11;20;4;4;47;0;1526.84;0.0229299363;0;1;0
112;3345;214;11;6;1859;0.0535714286;analytics for data    ;2024;11;23;4;7;47;1;1645.0;0.0334828102;0;1;0
139;5903;184.41;23;9;1188;0.0647482014;online data analytic  ;2024;11;20;4;4;47;0;1003.59;0.0235473488;0;1;0
145;5004;216.45;22;5;1496;0.0344827586;data analitics online ;2024;11;1;4;6;44;0;1279.55;0.0289768185;0;1;0
183;3947;197.3;15;8;1645;0.043715847;data anaytics training;2024;11;14;4;5;46;0;1447.7;0.0463643273;0;0;1
113;3690;229.42;20;5;1915;0.0442477876;learn data analytics  ;2024;11;28;4;5;48;0;1685.58;0.0306233062;0;1;0
101;5943;187.32;27;6;1614;0.0594059406;data analitics online ;2024;11;15;4;6;46;0;1426.68;0.0169947838;0;1;0
189;5357;222.5;24;3;1839;0.0158730159;data analytics course ;2024;11;25;4;2;48;0;1616.5;0.0352809408;0;1;0
154;3596;236.14;30;9;1036;0.0584415584;online data analytic  ;2024;11;6;4;4;45;0;799.86;0.0428253615;0;1;0
179;5162;246.76;16;5;1052;0.0279329609;online data analytic  ;2024;11;29;4;6;48;0;805.24;0.034676482;0;0;1
148;3747;244.41;18;8;1092;0.0540540541;learn data analytics  ;2024;11;17;4;1;47;1;847.59;0.0394982653;0;1;0
177;4822;197.03;26;9;1909;0.0508474576;online data analytic  ;2024;11;4;4;2;45;0;1711.97;0.0367067607;1;0;0
119;5800;221.36;11;8;1507;0.0672268908;analytics for data    ;2024;11;29;4;6;48;0;1285.64;0.0205172414;0;0;1
89;3594;214;14;6;1026;0.0674157303;data analytics course ;2024;11;15;4;6;46;0;812.0;0.0247634947;0;1;0
146;4765;230.22;23;5;1944;0.0342465753;analytics for data    ;2024;11;28;4;5;48;0;1713.78;0.0306400839;0;1;0
109;4128;183.65;12;5;1507;0.0458715596;data analitics online ;2024;11;30;4;7;48;1;1323.35;0.0264050388;0;0;1
159;5127;197.16;21;4;1867;0.0251572327;learn data analytics  ;2024;11;3;4;1;45;1;1669.84;0.0310122879;0;1;0
144;5674;235.36;12;3;1505;0.0208333333;analytics for data    ;2024;11;22;4;6;47;0;1269.64;0.0253789214;0;0;1
122;3793;237.22;19;8;1842;0.0655737705;online data analytic  ;2024;11;20;4;4;47;0;1604.78;0.0321645136;0;1;0
112;4315;235.33;28;9;1116;0.0803571429;data analytics course ;2024;11;8;4;6;45;0;880.67;0.0259559676;1;0;0
174;4704;192.32;21;10;1501;0.0574712644;learn data analytics  ;2024;11;24;4;1;48;1;1308.68;0.0369897959;1;0;0
168;3349;235.6;23;9;1894;0.0535714286;online data analytic  ;2024;11;9;4;7;45;1;1658.4;0.0501642281;1;0;0
173;3501;223.9;28;10;1179;0.0578034682;data analytics course ;2024;11;25;4;2;48;0;955.1;0.049414453;1;0;0
91;4538;203.52;20;9;1838;0.0989010989;data analytics course ;2024;11;20;4;4;47;0;1634.48;0.0200528867;0;0;1
140;5405;195.69;21;8;1094;0.0571428571;data anaytics training;2024;11;21;4;5;47;0;898.31;0.0259019426;0;0;1
93;3425;229.76;26;4;1344;0.0430107527;online data analytic  ;2024;11;24;4;1;48;1;1114.24;0.0271532847;1;0;0
114;5263;189.13;23;5;1434;0.0438596491;data analytics course ;2024;11;5;4;3;45;0;1244.87;0.0216606498;1;0;0
172;3889;214;21;10;1766;0.0581395349;online data analytic  ;2024;11;16;4;7;46;1;1552.0;0.0442273078;0;1;0
188;3327;193.76;24;6;1220;0.0319148936;online data analytic  ;2024;11;3;4;1;45;1;1026.24;0.056507364;0;1;0
117;4549;214.18;29;4;1348;0.0341880342;learn data analytics  ;2024;11;23;4;7;47;1;1133.82;0.0257199384;1;0;0
113;5471;215.57;27;9;1123;0.0796460177;analytics for data    ;2024;11;23;4;7;47;1;907.43;0.0206543593;1;0;0
109;3550;240.33;14;8;1982;0.0733944954;learn data analytics  ;2024;11;24;4;1;48;1;1741.67;0.0307042254;0;1;0
174;3178;225.67;18;10;1140;0.0574712644;data analitics online ;2024;11;20;4;4;47;0;914.33;0.054751416;0;0;1
96;4673;192.88;24;5;1962;0.0520833333;learn data analytics  ;2024;11;10;4;1;46;1;1769.12;0.020543548;1;0;0
110;4254;187.87;11;4;1172;0.0363636364;data anaytics training;2024;11;4;4;2;45;0;984.13;0.025858016;1;0;0
163;3658;237.63;23;7;1699;0.0429447853;online data analytic  ;2024;11;23;4;7;47;1;1461.37;0.0445598688;0;1;0
161;5319;235.98;13;4;1423;0.0248447205;learn data analytics  ;2024;11;18;4;2;47;0;1187.02;0.0302688475;1;0;0
195;5278;193.49;30;7;1456;0.0358974359;data analytics course ;2024;11;4;4;2;45;0;1262.51;0.0369458128;1;0;0
84;3755;218.88;14;9;1299;0.1071428571;analytics for data    ;2024;11;5;4;3;45;0;1080.12;0.0223701731;0;1;0
113;4580;194.82;11;6;1248;0.0530973451;data analytics course ;2024;11;28;4;5;48;0;1053.18;0.0246724891;0;1;0
117;3809;225.14;12;5;1495;0.0427350427;data anaytics training;2024;11;9;4;7;45;1;1269.86;0.0307167235;0;0;1
135;5118;219.99;27;6;1089;0.0444444444;online data analytic  ;2024;11;20;4;4;47;0;869.01;0.0263774912;1;0;0
92;5766;186.14;28;7;1013;0.0760869565;data anaytics training;2024;11;27;4;4;48;0;826.86;0.0159556018;0;1;0
188;3934;206.21;16;9;1507;0.0478723404;data analytics course ;2024;11;4;4;2;45;0;1300.79;0.0477885104;0;0;1
101;4724;228.38;13;7;1243;0.0693069307;learn data analytics  ;2024;11;20;4;4;47;0;1014.62;0.0213801863;0;0;1
111;5895;205.25;29;4;1693;0.036036036;data analytics course ;2024;11;4;4;2;45;0;1487.75;0.0188295165;1;0;0
122;4048;202.23;28;10;1504;0.0819672131;online data analytic  ;2024;11;26;4;3;48;0;1301.77;0.0301383399;1;0;0
99;3169;237.68;21;6;1509;0.0606060606;online data analytic  ;2024;11;22;4;6;47;0;1271.32;0.0312401388;1;0;0
154;4535;229.29;11;3;1434;0.0194805195;data anaytics training;2024;11;1;4;6;44;0;1204.71;0.0339581036;0;1;0
129;3849;249.29;22;10;1767;0.0775193798;analytics for data    ;2024;11;11;4;2;46;0;1517.71;0.0335151988;0;0;1
143;4259;182.98;10;10;1048;0.0699300699;analytics for data    ;2024;11;16;4;7;46;1;865.02;0.0335759568;1;0;0
143;3628;214;18;9;1566;0.0629370629;data analytics course ;2024;11;17;4;1;47;1;1352.0;0.039415656;0;1;0
80;3269;214.29;12;4;1753;0.05;data analitics online ;2024;11;23;4;7;47;1;1538.71;0.0244723157;0;0;1
134;3724;188.02;26;9;1891;0.0671641791;online data analytic  ;2024;11;7;4;5;45;0;1702.98;0.0359828142;0;0;1
174;4838;242.35;21;3;1599;0.0172413793;data analitics online ;2024;11;22;4;6;47;0;1356.65;0.0359652749;0;0;1
196;4524;192.01;15;8;1048;0.0408163265;data analytics course ;2024;11;13;4;4;46;0;855.99;0.0433244916;0;0;1
194;4694;228.15;17;7;1874;0.0360824742;learn data analytics  ;2024;11;14;4;5;46;0;1645.85;0.0413293566;0;1;0
180;4326;221.67;13;6;1427;0.0333333333;online data analytic  ;2024;11;6;4;4;45;0;1205.33;0.0416088766;0;1;0
100;4235;222.61;10;8;1814;0.08;data anaytics training;2024;11;1;4;6;44;0;1591.39;0.0236127509;0;0;1
153;4367;184.51;29;9;1507;0.0588235294;analytics for data    ;2024;11;13;4;4;46;0;1322.49;0.0350354935;1;0;0
110;3748;198.68;24;9;1041;0.0818181818;data anaytics training;2024;11;5;4;3;45;0;842.32;0.0293489861;0;1;0
116;3901;214;21;4;1483;0.0344827586;online data analytic  ;2024;11;13;4;4;46;0;1269.0;0.0297359651;0;1;0
156;3335;236.98;29;7;1143;0.0448717949;data analytics course ;2024;11;14;4;5;46;0;906.02;0.0467766117;0;0;1
177;5671;210.74;19;6;1172;0.0338983051;data analytics course ;2024;11;25;4;2;48;0;961.26;0.0312114266;0;1;0
89;3408;214.78;25;9;1898;0.1011235955;data analytics course ;2024;11;15;4;6;46;0;1683.22;0.0261150235;1;0;0
155;4422;183.96;14;8;1143;0.0516129032;analytics for data    ;2024;11;15;4;6;46;0;959.04;0.0350520127;1;0;0
123;3097;190.55;20;8;1640;0.0650406504;data analytics course ;2024;11;22;4;6;47;0;1449.45;0.0397158541;0;1;0
102;3621;244.82;10;5;1375;0.0490196078;learn data analytics  ;2024;11;12;4;3;46;0;1130.18;0.0281690141;1;0;0
150;4806;244.53;15;9;1602;0.06;data analitics online ;2024;11;7;4;5;45;0;1357.47;0.0312109863;1;0;0
160;4538;245.87;11;6;1507;0.0375;analytics for data    ;2024;11;5;4;3;45;0;1261.13;0.0352578228;0;0;1
143;3901;191.38;29;4;1786;0.027972028;learn data analytics  ;2024;11;24;4;1;48;1;1594.62;0.0366572674;1;0;0
178;4673;222.46;29;6;1219;0.0337078652;online data analytic  ;2024;11;4;4;2;45;0;996.54;0.038091162;0;1;0
152;3542;208.96;13;9;1735;0.0592105263;data analytics course ;2024;11;13;4;4;46;0;1526.04;0.0429136081;0;0;1
139;4347;238.19;26;5;1384;0.035971223;analytics for data    ;2024;11;13;4;4;46;0;1145.81;0.0319760755;0;1;0
175;5014;247.24;25;7;1499;0.04;learn data analytics  ;2024;11;15;4;6;46;0;1251.76;0.0349022736;1;0;0
92;4185;218.46;21;9;1567;0.097826087;data analitics online ;2024;11;3;4;1;45;1;1348.54;0.0219832736;1;0;0
123;5964;214.29;17;6;1363;0.0487804878;data anaytics training;2024;11;3;4;1;45;1;1148.71;0.0206237425;0;0;1
86;5124;183.71;13;10;1137;0.1162790698;data anaytics training;2024;11;20;4;4;47;0;953.29;0.0167837627;1;0;0
117;4162;238.08;28;10;1186;0.0854700855;online data analytic  ;2024;11;22;4;6;47;0;947.92;0.0281114849;1;0;0
146;4330;191.9;20;3;1748;0.0205479452;online data analytic  ;2024;11;9;4;7;45;1;1556.1;0.0337182448;1;0;0
89;3268;214.29;17;4;1233;0.0449438202;online data analytic  ;2024;11;13;4;4;46;0;1018.71;0.0272337821;0;0;1
195;3483;213.99;27;7;1796;0.0358974359;learn data analytics  ;2024;11;23;4;7;47;1;1582.01;0.0559862188;0;0;1
170;4519;240.63;22;7;1012;0.0411764706;analytics for data    ;2024;11;27;4;4;48;0;771.37;0.0376189422;1;0;0
97;3605;240.29;21;7;1682;0.0721649485;data analitics online ;2024;11;10;4;1;46;1;1441.71;0.0269070735;0;0;1
159;5076;204.97;15;10;1638;0.0628930818;data analytics course ;2024;11;17;4;1;47;1;1433.03;0.0313238771;0;1;0
131;5352;225.86;24;10;1961;0.0763358779;online data analytic  ;2024;11;20;4;4;47;0;1735.14;0.0244768311;1;0;0
108;5503;185.26;11;7;1921;0.0648148148;data analitics online ;2024;11;6;4;4;45;0;1735.74;0.0196256587;1;0;0
93;4308;209.83;19;9;1694;0.0967741935;data analytics course ;2024;11;20;4;4;47;0;1484.17;0.0215877437;1;0;0
137;3555;213.5;29;3;1507;0.0218978102;data analytics course ;2024;11;6;4;4;45;0;1293.5;0.0385372714;0;0;1
81;5615;193.14;30;6;1255;0.0740740741;analytics for data    ;2024;11;28;4;5;48;0;1061.86;0.0144256456;1;0;0
160;4743;206.22;23;10;1825;0.0625;learn data analytics  ;2024;11;20;4;4;47;0;1618.78;0.0337339237;1;0;0
186;3337;183.58;16;8;1045;0.0430107527;online data analytic  ;2024;11;30;4;7;48;1;861.42;0.0557386874;0;0;1
105;3234;238.8;27;10;1248;0.0952380952;online data analytic  ;2024;11;6;4;4;45;0;1009.2;0.0324675325;0;0;1
131;3913;203.69;14;10;1079;0.0763358779;data anaytics training;2024;11;25;4;2;48;0;875.31;0.0334781498;0;0;1
129;3208;204.2;18;8;1456;0.0620155039;learn data analytics  ;2024;11;29;4;6;48;0;1251.8;0.0402119701;0;0;1
187;5972;220.64;30;7;1980;0.0374331551;data analytics course ;2024;11;14;4;5;46;0;1759.36;0.031312793;0;0;1
167;3662;235.43;10;7;1684;0.0419161677;data anaytics training;2024;11;25;4;2;48;0;1448.57;0.0456034954;1;0;0
140;3359;182.13;29;7;1973;0.05;data analitics online ;2024;11;28;4;5;48;0;1790.87;0.0416790712;0;0;1
198;3700;220.67;14;5;1531;0.0252525253;analytics for data    ;2024;11;10;4;1;46;1;1310.33;0.0535135135;1;0;0
196;3835;218.07;10;9;1871;0.0459183673;online data analytic  ;2024;11;4;4;2;45;0;1652.93;0.0511082138;0;1;0
140;5638;208.02;22;5;1652;0.0357142857;data anaytics training;2024;11;18;4;2;47;0;1443.98;0.0248315005;0;0;1
157;5825;230.6;16;3;1041;0.0191082803;data anaytics training;2024;11;16;4;7;46;1;810.4;0.0269527897;0;0;1
91;5428;248.38;11;3;1835;0.032967033;learn data analytics  ;2024;11;22;4;6;47;0;1586.62;0.0167649226;0;1;0
140;3571;238.12;21;9;1762;0.0642857143;learn data analytics  ;2024;11;16;4;7;46;1;1523.88;0.0392047046;0;0;1
154;3638;182.17;11;8;1413;0.0519480519;online data analytic  ;2024;11;4;4;2;45;0;1230.83;0.0423309511;1;0;0
133;4505;200.52;23;3;1562;0.022556391;analytics for data    ;2024;11;26;4;3;48;0;1361.48;0.0295227525;0;1;0
143;5016;238.59;26;9;1620;0.0629370629;data analitics online ;2024;11;20;4;4;47;0;1381.41;0.0285087719;1;0;0
141;3071;208.2;10;6;1647;0.0425531915;data analitics online ;2024;11;18;4;2;47;0;1438.8;0.0459133833;0;1;0
135;5682;214;30;3;1445;0.0222222222;data anaytics training;2024;11;15;4;6;46;0;1231.0;0.0237592397;0;1;0
199;5067;247.38;24;8;1365;0.040201005;analytics for data    ;2024;11;19;4;3;47;0;1117.62;0.039273732;1;0;0
138;3971;184.87;28;3;1718;0.0217391304;learn data analytics  ;2024;11;7;4;5;45;0;1533.13;0.0347519516;0;1;0
175;4481;236.38;21;10;1257;0.0571428571;data analytics course ;2024;11;20;4;4;47;0;1020.62;0.0390537826;0;0;1
170;5476;186.29;25;4;1731;0.0235294118;analytics for data    ;2024;11;8;4;6;45;0;1544.71;0.0310445581;1;0;0
138;4426;203.75;24;10;1838;0.0724637681;data analytics course ;2024;11;5;4;3;45;0;1634.25;0.0311793945;1;0;0
108;4080;247.8;18;4;1363;0.037037037;online data analytic  ;2024;11;30;4;7;48;1;1115.2;0.0264705882;0;1;0
150;4113;219.67;12;7;1196;0.0466666667;learn data analytics  ;2024;11;22;4;6;47;0;976.33;0.0364697301;1;0;0
90;5119;226.58;14;10;1348;0.1111111111;analytics for data    ;2024;11;7;4;5;45;0;1121.42;0.0175815589;0;0;1
98;3422;223.55;17;7;1414;0.0714285714;online data analytic  ;2024;11;19;4;3;47;0;1190.45;0.0286382233;0;1;0
130;3327;224.83;13;3;1668;0.0230769231;online data analytic  ;2024;11;16;4;7;46;1;1443.17;0.0390742411;1;0;0
199;4480;199.98;15;8;1467;0.040201005;data anaytics training;2024;11;8;4;6;45;0;1267.02;0.0444196429;0;1;0
101;3241;183.34;24;6;1483;0.0594059406;data anaytics training;2024;11;10;4;1;46;1;1299.66;0.0311632212;0;1;0
118;3970;214.29;27;9;1036;0.0762711864;data analytics course ;2024;11;19;4;3;47;0;821.71;0.0297229219;0;0;1
199;5734;247.99;18;7;1455;0.0351758794;data analitics online ;2024;11;11;4;2;46;0;1207.01;0.0347052668;0;0;1
183;4001;237.85;23;4;1430;0.0218579235;online data analytic  ;2024;11;21;4;5;47;0;1192.15;0.0457385654;1;0;0
126;4206;233.76;29;10;1998;0.0793650794;online data analytic  ;2024;11;6;4;4;45;0;1764.24;0.029957204;0;1;0
199;4745;214;13;9;1800;0.0452261307;analytics for data    ;2024;11;28;4;5;48;0;1586.0;0.041938883;0;1;0
92;4042;200.75;15;7;1234;0.0760869565;learn data analytics  ;2024;11;24;4;1;48;1;1033.25;0.0227610094;0;1;0
